crop,disease,disease_status,causal_agent,symptoms,chemical_solutions,biological_solutions,cultural_solutions,preventive_measures,organic_solutions,soil_management,irrigation_advice,nutrition_management,season_timing,firestore_tags
Strawberry,Leaf Scorch,Diseased,Diplocarpon earliana (fungus),"Small, dark purple to red spots on upper leaf surface; spots merge giving scorched appearance; purplish-red leaf margin; leaf blade turns reddish-brown to brown; severe defoliation",Captan (0.2%); Myclobutanil; Tebuconazole; Azoxystrobin; Pyraclostrobin; apply every 7-14 days from early spring; continue through harvest and renovate,Bacillus subtilis foliar sprays; Trichoderma-based biocontrol; neem oil (3ml/L); copper-based organic fungicides,Remove infected leaves during renovation; rogue and destroy severely infected plants; improve bed drainage; increase plant spacing; avoid excess nitrogen; proper renovation after harvest (mow + narrow rows),"Preventive fungicide from first green growth in spring; plant resistant varieties (Allstar, Tristar, Seascape); certified disease-free runners; proper renovation practices",Copper hydroxide sprays; sulfur applications; neem oil program; Bordeaux mixture,pH 5.5-6.5; well-drained raised beds; mulch with straw to prevent soil splash; proper spacing 30x30cm,Drip irrigation under plastic mulch ideal; avoid all overhead irrigation; water in morning if unavoidable,Balanced NPK; avoid excess nitrogen; potassium for disease resistance; calcium for fruit firmness; annual soil test,Spring application most important; continue through season; post-harvest renovation and fungicide,"strawberry,leaf_scorch,diplocarpon,fungal,foliar"
Strawberry,Healthy,Healthy,None,No symptoms - plant is healthy,Preventive Captan program from green tip; Botryticide at bloom; Miticide for mite prevention; systemic insecticide for tarnished plant bug; pre-plant soil fumigation for Verticillium,Trichoderma soil inoculants; mycorrhizal fungi at planting; Bacillus subtilis foliar preventive; predatory mites (Phytoseiidae) for spider mite biocontrol; Bombus bees for pollination,"Certified virus-indexed planting material; annual replacement recommended; proper renovation (mow, narrow, thin, fertilize); weed management; plastic mulch culture","Scout for Botrytis, angular leaf spot, anthracnose, Verticillium wilt; SWD monitoring; proper runner management; irrigation scheduling",Copper sprays; neem oil schedule; pyrethrin for tarnished plant bug; Spinosad for thrips; straw mulch; biochar soil amendment,pH 5.5-6.5; excellent drainage; raised beds 15-20cm high; fumigation history fields; organic matter 3-4%,Drip under plastic mulch ideal; 25-35mm/week; frost protection overhead if needed; moisture sensor monitoring,Preplant: P and K based on soil test; N: 60-80kg/ha split; Ca foliar; foliar micronutrients monthly; avoid excess N at planting,Year-round care; spring startup critical; summer renovation; fall planting (day-neutral); winter mulch protection,"strawberry,healthy,preventive,maintenance"
Tomato,Bacterial Spot,Diseased,"Xanthomonas euvesicatoria, X. vesicatoria, X. perforans, X. gardneri (bacteria)","Small water-soaked spots on leaves turning brown with yellow halo; shot-hole lesions; raised, scabby spots on fruit; defoliation; fruit unmarketable","Copper hydroxide (0.3%); Copper oxychloride; Mancozeb + Copper tank-mix; Oxytetracycline (Mycoshield, where registered); spray every 5-7 days in wet weather; add Mancozeb to reduce copper resistance","Bacillus subtilis (Serenade); Bacillus amyloliquefaciens; bacteriophage products (Agriphage); hot water seed treatment (50°C, 25 min); Lysobacter enzymogenes; plant defense activators (Actigard)","Certified disease-free seed or hot water treated seed; resistant varieties (Fletcher, BHN 589, Tasti-Lee); 2-3 year rotation; staking + pruning for airflow; avoid overhead irrigation; mulch; disinfect tools",Start copper at transplanting; spray after every rain; avoid field work when wet; reflective mulch reduces aphid-borne viruses; transplant scouting for symptoms,Copper hydroxide; Bordeaux mixture; Bacillus biocontrol; hydrogen peroxide spray (0.5-1%); vinegar spray (very dilute); seaweed extract,pH 6.0-7.0; raised beds; good drainage; plastic mulch to prevent soil splash,Drip irrigation only; stake plants before irrigating; avoid wetting foliage,Balanced NPK; calcium-potassium balance for resistance; avoid excess nitrogen; boron at flowering for fruit set,"Entire growing season; most severe in warm, wet, windy conditions; spray after every significant rain","tomato,bacterial_spot,xanthomonas,bacterial,foliar,fruit"
Tomato,Early Blight,Diseased,Alternaria solani (fungus),Concentric ring bull's-eye lesions on older lower leaves; dark brown to black lesions; yellow halo; defoliation from bottom up; stem lesions; sunken dark spots at stem end of fruit,Mancozeb (0.25%); Chlorothalonil; Azoxystrobin; Difenoconazole; Boscalid + Pyraclostrobin; Iprodione; spray every 7-10 days from first symptoms; FRAC rotation essential,Bacillus subtilis (Serenade/Cease); Trichoderma harzianum; neem oil (3ml/L) + karanja oil; Streptomyces lydicus; Pseudomonas fluorescens foliar,Remove lower infected leaves when <50% affected; stake plants for air circulation; mulch with plastic; deep water rather than frequent; remove all crop debris after harvest; rotation 2-3 years,"Preventive fungicide from 30 DAT (days after transplanting); scout weekly; plant resistant varieties (Mountain Fresh, Plum Crimson, Big Beef); certified transplants",Copper-based fungicides; Bordeaux mixture; baking soda + oil spray; neem extract; compost tea sprays; sulfur applications,pH 6.0-7.0; plastic mulch to prevent soil splash; good drainage; compost incorporation,Drip irrigation under mulch; water deeply 2-3x/week; avoid wetting foliage; morning irrigation only,Adequate nitrogen (not deficient); balanced K-Ca; magnesium for lower leaf retention; foliar micronutrients,Begin preventive program 30 DAT; most severe at fruit set; continues through harvest,"tomato,early_blight,alternaria,fungal,foliar"
Tomato,Late Blight,Diseased,Phytophthora infestans (oomycete),"Large, irregularly shaped, greasy water-soaked lesions on leaves; white fluffy growth on underside; rapid browning and death of entire plant possible; brown lesions on stem; fruit shows firm brown internal rot",Metalaxyl + Mancozeb (Ridomil Gold MZ); Cymoxanil + Mancozeb; Mandipropamid (Revus); Fluopicolide; Dimethomorph; Ametoctradin; spray every 5-7 days; NEVER use Metalaxyl alone; rotate modes of action,Bacillus subtilis (Serenade Opti) - preventive only; copper + Bacillus combination; Pseudomonas fluorescens; Trichoderma - supportive only; phosphonate sprays,"Remove and destroy infected plants immediately; do not compost infected material; plant resistant varieties (Mountain Merit, Plum Regal, Defiant, Jasper); stake for air circulation; avoid overhead irrigation",Monitor Blight alerts (TOMCAST system); spray before infection periods; use Blight-resistant varieties; source certified transplants; isolate from potato fields,Copper hydroxide (0.3%) every 5-7 days; Bordeaux mixture; fixed copper products; fosetyl-Al (some organic programs); phosphite salts,Good drainage essential; raised beds; plastic mulch; avoid overhead irrigation completely,Drip ONLY; zero overhead irrigation; reduce leaf wetness period below 10 hours,Potassium at 150-200kg/ha; balanced nutrition; phosphonate applications for systemic resistance; calcium for cell integrity,Can occur anytime; most severe: cool (10-25°C) wet weather; emergency spray within 24h of blight period; check alerts daily,"tomato,late_blight,phytophthora,oomycete,foliar,emergency"
Tomato,Leaf Mold,Diseased,Passalora fulva (formerly Fulvia fulva / Cladosporium fulvum) (fungus),Pale greenish-yellow spots on upper leaf surface; olive-green to brown velvety mold on lower leaf surface; infected leaves curl upward; primarily affects lower leaves; primarily a greenhouse/poly-house disease,Chlorothalonil; Mancozeb; Azoxystrobin; Difenoconazole; Myclobutanil; Tebuconazole; spray every 7-10 days; improve ventilation alongside chemical control,Bacillus subtilis foliar sprays; Trichoderma applications; neem oil (3ml/L); plant defense activators; beneficial fungi competition,"Reduce greenhouse humidity to <85% (critical); improve ventilation significantly; remove infected leaves; prune lower leaves; plant resistant varieties with Cf resistance genes (Quest, Dombito, Claresse)",Maintain RH <85% constantly; use resistant varieties; preventive fungicide at crop establishment; regular removal of lower leaves from 4th truss upward,Sulfur vaporizers in greenhouse (for mildew and mold); copper sprays; neem oil; potassium bicarbonate; ventilation management most important,Avoid excessive watering that increases humidity; proper drainage; raised substrate culture in glasshouse,Reduce irrigation to lower transpiration; drip irrigation; never wet foliage; early morning irrigation,Balanced nutrition; avoid excess nitrogen; adequate potassium; calcium for cell walls,Greenhouse/polyhouse crop: monitor during cool wet weather; maintain ventilation year-round,"tomato,leaf_mold,cladosporium,fungal,greenhouse,foliar"
Tomato,Septoria Leaf Spot,Diseased,Septoria lycopersici (fungus),"Small, circular spots (3-6mm) with dark brown margins and lighter tan-grey centres; small black pycnidia (fruiting bodies) visible in spot centre; severe lower leaf defoliation; fruit rarely affected directly",Chlorothalonil (0.2%); Mancozeb (0.25%); Copper-based fungicides; Azoxystrobin; Boscalid; Difenoconazole; spray every 7-10 days from first signs; protectant fungicides most important,Bacillus subtilis sprays (Serenade); Trichoderma-based products; neem oil program; compost tea sprays; Pseudomonas biocontrol,Remove infected lower leaves; crop rotation 2-3 years; stake plants for air circulation; plastic mulch to prevent soil splash; remove all crop residue; avoid weed hosts (especially black nightshade),Apply preventive fungicide at first flower; maintain spray schedule; avoid overhead irrigation; source certified transplants; scout weekly from transplanting,Copper hydroxide spray; Bordeaux mixture; neem oil; sulfur applications; compost tea; mulching,pH 6.0-7.0; mulch to prevent splash; good drainage; compost incorporation for soil biology,Drip irrigation under plastic mulch; no overhead; water at base only,Avoid nitrogen deficiency (accelerates disease on stressed plants); balanced K-Ca-Mg; micronutrient foliar,Appears early in season; progresses upward; most critical at fruit ripening when defoliation causes sunscald,"tomato,septoria_leaf_spot,fungal,foliar,defoliation"
Tomato,Spider Mites (Two-Spotted Spider Mite),Diseased,Tetranychus urticae (arthropod - arachnid),Tiny yellowish stippling/bronzing on upper leaf surface; fine webbing on underside of leaves; leaves turn bronze-yellow then brown; rapid plant decline in hot dry conditions; visible tiny mites under magnification,Abamectin (0.002%); Bifenazate; Hexythiazox; Fenpyroximate; Spiromesifen; Etoxazole; ROTATE CAREFULLY (resistance common); 2 sprays 5-7 days apart covering leaf undersides; never use pyrethroid (increases mites),"Phytoseiid predatory mites: Phytoseiulus persimilis (primary), Neoseiulus californicus, Amblyseius andersoni; Stethorus punctillum (predatory beetle); Feltiella acarisuga (midge); Beauveria bassiana sprays; insecticidal soap",Maintain plant humidity (spider mites love hot dry conditions); remove heavily infested leaves/plants; avoid dusty conditions on plants; weed control; avoid water stress; early season monitoring,Scout undersides of leaves weekly from transplanting; avoid broad-spectrum insecticides that kill natural enemies; monitor hot dry spots in field; introduce predatory mites preventively in greenhouse,Insecticidal soap (2%); neem oil (3ml/L); canola oil spray; pyrethrin; Beauveria bassiana; water sprays to dislodge mites; rosemary oil; peppermint oil; garlic extract,Maintain soil moisture to avoid plant stress; mulch to conserve moisture; compost for soil health,Maintain adequate irrigation to avoid plant drought stress (drought increases spider mite susceptibility); overhead sprinkler irrigation suppresses mites in field crops,Balanced nutrition; avoid nitrogen excess (promotes lush tissue preferred by mites); adequate phosphorus; silicon supplementation (100-150mg/L) significantly reduces mite populations by strengthening leaf tissue,"Most severe in hot, dry conditions (above 30°C); can complete generation in 5-7 days in summer; emergency response within 48h of detection","tomato,spider_mites,tetranychus,arthropod,acaricide,biological_control"
Tomato,Target Spot,Diseased,Corynespora cassiicola (fungus),Circular brown lesions with concentric ring pattern (target-like); brown lesions on fruit (shallow); stem lesions; affects all aerial plant parts; zonate pattern more diffuse than early blight,Azoxystrobin + Difenoconazole; Boscalid + Pyraclostrobin; Tebuconazole; Mancozeb + Cymoxanil; Chlorothalonil; Thiram; spray every 7-14 days,Bacillus subtilis sprays; Trichoderma-based biocontrol; neem oil (3ml/L); Copper-based organic fungicides; compost tea foliar,Remove infected leaves; improve air circulation; crop rotation 2-3 years; plastic mulch; remove all residue post-harvest; resistant varieties where available,Preventive fungicide from 30 DAT; maintain good plant spacing; stake for ventilation; avoid high humidity in greenhouse,Copper hydroxide; Bordeaux mixture; neem oil; sulfur applications; potassium bicarbonate,pH 6.0-7.0; good drainage; mulch; compost,Drip irrigation; avoid wetting foliage; morning irrigation,Balanced NPK; adequate potassium; calcium sprays; avoid excess nitrogen,Warm humid conditions; most severe in rainy season; manage canopy to reduce humidity,"tomato,target_spot,corynespora,fungal,foliar,fruit"
Tomato,Tomato Yellow Leaf Curl Virus (TYLCV),Diseased,Tomato Yellow Leaf Curl Virus (Begomovirus) transmitted by Bemisia tabaci (whitefly),Upward curling and yellowing of leaf margins; small cupped leaves; stunted plant growth; flower drop; severely reduced fruit set; plant remains alive but unproductive,No cure for virus; CONTROL VECTOR (whitefly): Imidacloprid soil drench at transplanting; Thiamethoxam; Spirotetramat; Pymetrozine; Flupyradifurone; Cyantraniliprole; rotate insecticide classes to prevent resistance,Encarsia formosa (parasitic wasp) for whitefly biocontrol; Eretmocerus eremicus; Beauveria bassiana sprays for whitefly; neem oil (3ml/L) repels whitefly; predatory bugs (Macrolophus pygmaeus),"Use TYLCV-resistant varieties (Tylka, TY Kabiria, TY Zohara, Revolution, Escudo); remove and destroy infected plants immediately; use insect-proof nets (50 mesh) in nursery and field; yellow sticky traps for monitoring; weed control",Plant resistant varieties (most important intervention); protect nursery with fine mesh nets; roguing infected plants early; use reflective silver mulch to repel whiteflies; avoid planting near Cucurbit crops,Neem oil + soap spray for whitefly; reflective mulch (silver/aluminum) essential; kaolin clay repels whitefly; pyrethrin insecticide; garlic + pepper extract spray; insecticidal soap,Healthy soil reduces plant stress; pH 6.0-7.0; balanced nutrition; organic matter for resilience,Consistent drip irrigation; avoid plant stress (stressed plants are more susceptible to virus expression); balanced soil moisture,Adequate nutrition to maintain plant vigor; avoid excess nitrogen (promotes whitefly-preferred tissue); potassium for disease tolerance; silicon (1-2g/L) for plant resistance,Year-round threat in warm climates; worst in dry season when whitefly populations peak; destroy plant residues between crops,"tomato,TYLCV,begomovirus,viral,whitefly,vector_borne"
Tomato,Tomato Mosaic Virus (ToMV),Diseased,Tomato Mosaic Virus / Tobacco Mosaic Virus (Tobamovirus) - mechanically transmitted,Mosaic pattern of light and dark green on leaves; leaf distortion and fern-like appearance; internal browning of fruit (brown wall); reduced fruit size; mosaic pattern on fruit,No chemical cure for virus; disinfect tools with 10% trisodium phosphate (TSP) or 2% NaOH; milk sprays on tools inactivate TMV; virus-free seed essential; no registered chemical treatment,Attenuated virus strains for cross-protection (greenhouse only); beneficial soil microbiome reduces stress; no direct biocontrol available,"Plant ONLY ToMV/TMV-resistant varieties (Tm-2 gene: Rutgers, Celebrity, Mountain Spring); use virus-indexed certified seed; disinfect tools between plants (10% TSP or 2% bleach); do not smoke in greenhouse or field; remove infected plants immediately; worker hygiene protocols","Virus-free seed source or hot water treatment (70°C dry heat, 2 days); hand washing before handling plants; no tobacco products near crop; resistant varieties most important; sanitize transplanting equipment; remove all solanaceous weeds",Skim milk spray on tools (inactivates TMV); hot water seed treatment; remove infected plants; plant resistant varieties; maintain tool sanitation with organic disinfectants; no tobacco near crop,Soil sterilization before planting in greenhouse; solarization for field soils; remove all crop residues; virus can survive in soil debris,No specific irrigation recommendation; avoid stressing plants; drip irrigation preferred,Maintain optimal nutrition to minimize virus expression severity; mild nutrition helps symptom tolerance; silicon for plant defense,"Can occur anytime; most spread during pruning, suckering, and transplanting operations; strict hygiene protocols during all contact with plants","tomato,mosaic_virus,TMV,ToMV,tobamovirus,viral,mechanical_transmission"
Tomato,Healthy,Healthy,None,No symptoms - plant is healthy,"Preventive program: Mancozeb + Copper alternating; systemic fungicide at first flower; insecticide rotation for whitefly, aphid, thrips; regular spray calendar",Trichoderma root inoculant at transplanting; Bacillus subtilis preventive foliar; mycorrhizal fungi; predatory insects for whitefly; neem oil preventive program,Disease-free certified transplants; proper spacing 45-60cm; staking; sucker removal with clean tools; mulching; weed control; crop rotation 2-3 years,TYLCV-resistant varieties in whitefly-prone areas; weekly scouting; reflective mulch for insect repulsion; insect-proof nursery; proper hardening off of transplants,Neem oil preventive; copper sprays; Bacillus subtilis; reflective mulch; kaolin clay; silicon foliar,pH 6.0-7.0; organic matter 3-4%; well-drained; raised beds; plastic mulch culture,Drip under mulch; 25-40mm/week; consistent supply; calcium nitrate fertigation for BER prevention,N: 100-150kg/ha split; P: 60-80kg/ha; K: 150-200kg/ha; Ca: 40-50kg/ha; Mg: 15-20kg/ha; B: 1-2kg/ha; weekly fertigation preferred,Year-round management; transplanting care critical; fruit development stage: BER prevention with Ca; post-harvest soil prep,"tomato,healthy,preventive,maintenance"
